날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2024-01-02,866.08,878.93,865.26,878.93,1154417882,9016382379513,426084860439733
2024-01-03,872.21,872.44,865.12,871.57,1259145225,10346856799119,422560464617857
2024-01-04,865.35,872.79,860.45,866.25,1224264897,10152118117016,420014902125688
2024-01-05,866.81,878.98,864.86,878.33,1047923558,10173764925209,426191476679294
2024-01-08,880.24,882.88,875.34,879.34,1162383415,10281017671776,426868672552920
2024-01-09,886.1,890.06,881.97,884.64,1170608223,10994850175241,429749865145220
2024-01-10,884.08,884.08,872.68,875.46,1270510842,10677245441859,425459540707299
2024-01-11,878.12,885.75,878.12,882.53,1476595168,10271731802615,428957219476629
2024-01-12,878.69,880.3,865.81,868.08,1107335306,9817956878209,410148736041156
2024-01-15,865.45,869.69,855.0,859.71,996410652,8814756004556,406390818141181
2024-01-16,857.39,864.9,846.47,854.83,1032822195,9427894353885,403879277342545
2024-01-17,856.61,856.97,832.7,833.05,1106275262,9112267875860,393681860340762
2024-01-18,834.01,848.63,830.06,840.33,1167940492,9516586886511,397229288077207
2024-01-19,848.66,856.05,837.87,842.67,1220560704,11330008924272,398160126936472
2024-01-22,848.87,849.32,836.89,839.69,1320572642,12853804835041,396689616318072
2024-01-23,840.62,848.65,833.24,840.11,1248018390,11778754822620,396984730255445
2024-01-24,841.45,842.9,828.12,836.21,1417438154,10670434214130,395557643219167
2024-01-25,833.34,833.34,820.64,823.74,1565969491,12874009155884,390353310452432
2024-01-26,818.76,839.52,817.06,837.24,1238780423,11242548125217,398079081213062
2024-01-29,841.21,841.21,815.54,819.14,1246813222,13191517578360,384137204369443
2024-01-30,826.0,828.54,811.57,818.86,1097207246,9727934440282,383976054539469
2024-01-31,813.8,818.9,799.24,799.24,1137249797,8642360135086,374861916613184
2024-02-01,796.26,800.91,786.28,798.73,1124844785,8978321425595,375252532726266
2024-02-02,803.71,817.74,803.71,814.77,1096190538,8618911062683,382771284007782
2024-02-05,812.28,813.83,807.36,807.99,974415250,7775026603080,379742624320544
2024-02-06,804.36,808.39,795.37,807.03,1065542735,9727051601170,379490521402460
2024-02-07,811.51,820.06,809.18,811.92,827984256,9325176029736,381548030041766
2024-02-08,816.82,828.03,816.27,826.58,912499052,9579201514705,388825224165147
2024-02-13,831.14,846.58,830.66,845.15,896289730,11292053996603,397516310558390
2024-02-14,833.24,854.44,831.56,853.3,1086775918,11435373890607,401324744348004
