case,size,period,index,horizon,macro_f1,pred_classes
2024 (EXP-A),소(406),2025 접촉,KOSPI,1,0.111,1
2024 (EXP-A),소(406),2025 접촉,KOSPI,5,0.207,1
2024 (EXP-A),소(406),2025 접촉,KOSDAQ,1,0.032,1
2024 (EXP-A),소(406),2025 접촉,KOSDAQ,5,0.173,1
2021,소(408),정상,KOSPI,1,0.235,1
2021,소(408),정상,KOSPI,5,0.143,1
2021,소(408),정상,KOSDAQ,1,0.235,1
2021,소(408),정상,KOSDAQ,5,0.208,1
2022,소(406),정상,KOSPI,1,0.25,2
2022,소(406),정상,KOSPI,5,0.255,1
2022,소(406),정상,KOSDAQ,1,0.291,2
2022,소(406),정상,KOSDAQ,5,0.267,1
2023,소(408),정상,KOSPI,1,0.214,1
2023,소(408),정상,KOSPI,5,0.159,2
2023,소(408),정상,KOSDAQ,1,0.244,1
2023,소(408),정상,KOSDAQ,5,0.283,1
multiyear (EXP-D),대(1358),정상,KOSPI,1,0.318,3
multiyear (EXP-D),대(1358),정상,KOSPI,5,0.298,2
multiyear (EXP-D),대(1358),정상,KOSDAQ,1,0.293,3
multiyear (EXP-D),대(1358),정상,KOSDAQ,5,0.275,2
