model,filter,index,horizon,macro_f1
TF-IDF,all,KOSPI,1,0.2787878787878788
TF-IDF,all,KOSPI,5,0.3555555555555555
TF-IDF,all,KOSPI,21,0.0
TF-IDF,all,KOSPI,252,0.3333333333333333
TF-IDF,all,KOSDAQ,1,0.2457264957264957
TF-IDF,all,KOSDAQ,5,0.25
TF-IDF,all,KOSDAQ,21,0.0
TF-IDF,all,KOSDAQ,252,0.0317460317460317
TF-IDF,market,KOSPI,1,0.2594268476621418
TF-IDF,market,KOSPI,5,0.3777777777777777
TF-IDF,market,KOSPI,21,0.3299663299663299
TF-IDF,market,KOSPI,252,0.3247863247863248
TF-IDF,market,KOSDAQ,1,0.3253968253968253
TF-IDF,market,KOSDAQ,5,0.448018648018648
TF-IDF,market,KOSDAQ,21,0.0
TF-IDF,market,KOSDAQ,252,0.0317460317460317
TF-IDF,macro,KOSPI,1,0.2514619883040935
TF-IDF,macro,KOSPI,5,0.4113756613756614
TF-IDF,macro,KOSPI,21,0.2307692307692307
TF-IDF,macro,KOSPI,252,0.2626262626262626
TF-IDF,macro,KOSDAQ,1,0.3988603988603988
TF-IDF,macro,KOSDAQ,5,0.3651960784313726
TF-IDF,macro,KOSDAQ,21,0.0317460317460317
TF-IDF,macro,KOSDAQ,252,0.0
RoBERTa,all,KOSPI,1,0.1111111111111111
RoBERTa,all,KOSPI,5,0.2068965517241379
RoBERTa,all,KOSPI,21,0.0
RoBERTa,all,KOSPI,252,0.3333333333333333
RoBERTa,all,KOSDAQ,1,0.0317460317460317
RoBERTa,all,KOSDAQ,5,0.1728395061728395
RoBERTa,all,KOSDAQ,21,0.0
RoBERTa,all,KOSDAQ,252,0.3333333333333333
RoBERTa,market,KOSPI,1,0.1111111111111111
RoBERTa,market,KOSPI,5,0.2068965517241379
RoBERTa,market,KOSPI,21,0.0
RoBERTa,market,KOSPI,252,0.3333333333333333
RoBERTa,market,KOSDAQ,1,0.0317460317460317
RoBERTa,market,KOSDAQ,5,0.1728395061728395
RoBERTa,market,KOSDAQ,21,0.0
RoBERTa,market,KOSDAQ,252,0.3333333333333333
RoBERTa,macro,KOSPI,1,0.1111111111111111
RoBERTa,macro,KOSPI,5,0.2068965517241379
RoBERTa,macro,KOSPI,21,0.0
RoBERTa,macro,KOSPI,252,0.3333333333333333
RoBERTa,macro,KOSDAQ,1,0.0317460317460317
RoBERTa,macro,KOSDAQ,5,0.1728395061728395
RoBERTa,macro,KOSDAQ,21,0.0
RoBERTa,macro,KOSDAQ,252,0.3333333333333333
