case,size,index,horizon,IC_mean,IC_std,pos,n
multiyear,대(1358),KOSDAQ,1,0.06066666666666667,0.02243806289916014,6,6
multiyear,대(1358),KOSDAQ,5,0.06816666666666667,0.03283544832443539,6,6
multiyear,대(1358),KOSPI,1,0.08616666666666667,0.0380600402872444,6,6
multiyear,대(1358),KOSPI,5,0.1465,0.025913317039699863,6,6
y2022,소(406),KOSDAQ,1,-0.0906,0.13890032397370425,1,5
y2022,소(406),KOSDAQ,5,-0.1336,0.28626438828467643,2,5
y2022,소(406),KOSPI,1,-0.010200000000000004,0.15844620538214224,3,5
y2022,소(406),KOSPI,5,-0.08180000000000001,0.3038958703240306,3,5
y2024,소(406),KOSDAQ,1,-0.17679999999999998,0.24133110035799363,2,5
y2024,소(406),KOSDAQ,5,-0.21400000000000002,0.14726336951190544,0,5
y2024,소(406),KOSPI,1,-0.1008,0.21183059269142407,2,5
y2024,소(406),KOSPI,5,-0.1754,0.11707390828019709,0,5
