model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,20,0.47368421052631576,1.0,0.6111111111111112,0.08421052631578946,0.7241036435108112,-0.0007040147308079225,0.8932213557288542,0.5
TF-IDF,KOSDAQ,5,20,0.4444444444444444,0.8145294189453125,0.5194805194805194,0.05714285714285714,0.8108800461568323,-0.012454268167778304,0.261747650469906,0.45
TF-IDF,KOSDAQ,21,20,,,,-0.15037593984962402,0.5268549482529812,-0.06488806842668712,0.0001999600079984003,0.0
TF-IDF,KOSDAQ,252,20,,,,-0.27368421052631575,0.24296636906130623,-0.3386183689142329,0.0001999600079984003,0.05
TF-IDF,KOSPI,1,20,0.5625,0.803619384765625,0.49206349206349204,-0.04360902255639097,0.8551479470173743,0.0016288040639454104,0.5986802639472105,0.65
TF-IDF,KOSPI,5,20,0.5882352941176471,0.629058837890625,0.5833333333333333,0.03458646616541353,0.8849015088305833,0.00017747954906399132,0.9752049590081984,0.6
TF-IDF,KOSPI,21,20,,,,-0.12180451127819547,0.608956622164901,-0.025645618682211276,0.0001999600079984003,0.1
TF-IDF,KOSPI,252,20,,,,-0.29473684210526313,0.20713542085215372,0.7765832099007545,0.0001999600079984003,1.0
wordcount,KOSDAQ,1,20,0.3684210526315789,0.359283447265625,0.33333333333333337,-0.2920588989998602,0.21148659309691156,-0.004588933432139774,0.3683263347330534,0.35
wordcount,KOSDAQ,5,20,0.3888888888888889,0.480682373046875,0.3571428571428572,-0.07978928684016799,0.7380881134014854,0.0023847596059486387,0.828634273145371,0.4
wordcount,KOSDAQ,21,20,,,,-0.3560408742962214,0.12338103717687214,0.021697070246664507,0.17056588682263546,0.7
wordcount,KOSDAQ,252,20,,,,-0.21001142479629126,0.3741670683153143,0.14537038397889607,0.10477904419116177,0.7
wordcount,KOSPI,1,20,0.375,0.454498291015625,0.3888888888888889,-0.2160332577653605,0.36030199439428756,-0.003622327392392177,0.24235152969406118,0.45
wordcount,KOSPI,5,20,0.4117647058823529,0.629058837890625,0.4652777777777778,-0.0030109164845346413,0.9899483872607127,-0.0031292785720883733,0.6140771845630874,0.45
wordcount,KOSPI,21,20,,,,-0.2935643572421275,0.20903313094923306,0.006627314870617634,0.35692861427714456,0.7
wordcount,KOSPI,252,20,,,,-0.23560421491483569,0.3173204571105405,0.2754897838927122,0.11737652469506099,0.7
RoBERTa,KOSDAQ,1,20,0.47368421052631576,1.0,0.33333333333333337,-0.4300751879699248,0.05839600708511875,-0.0010352487940681553,0.8440311937612478,0.45
RoBERTa,KOSDAQ,5,20,0.3888888888888889,0.480682373046875,0.4675324675324675,-0.004511278195488721,0.9849400483404018,-0.013542248852072513,0.21615676864627076,0.4
RoBERTa,KOSDAQ,21,20,,,,-0.13684210526315788,0.5650957921363965,-0.06488806842668712,0.0001999600079984003,0.0
RoBERTa,KOSDAQ,252,20,,,,0.19248120300751878,0.4162064734197989,0.3798791610615897,0.0001999600079984003,1.0
RoBERTa,KOSPI,1,20,0.5625,0.803619384765625,0.3015873015873016,-0.40751879699248117,0.07450821585547025,0.0010530492517596857,0.7294541091781643,0.65
RoBERTa,KOSPI,5,20,0.5294117647058824,1.0,0.6111111111111112,0.08721804511278194,0.7146383646582315,-0.0014342896333467581,0.8196360727854429,0.55
RoBERTa,KOSPI,21,20,,,,-0.03157894736842105,0.8948543863933638,-0.025645618682211276,0.0001999600079984003,0.1
RoBERTa,KOSPI,252,20,,,,0.16541353383458643,0.4858377042773383,0.7765832099007545,0.0001999600079984003,1.0
