model,filter,index,horizon,macro_f1
TF-IDF,all,KOSPI,1,0.2998958788526173
TF-IDF,all,KOSPI,5,0.3495900941712654
TF-IDF,all,KOSPI,21,0.303658727288538
TF-IDF,all,KOSPI,252,0.2237571048276854
TF-IDF,all,KOSDAQ,1,0.2647190560034597
TF-IDF,all,KOSDAQ,5,0.2786086956521739
TF-IDF,all,KOSDAQ,21,0.2907292073770501
TF-IDF,all,KOSDAQ,252,0.2942612942612942
TF-IDF,market,KOSPI,1,0.379963594687521
TF-IDF,market,KOSPI,5,0.3277678934593541
TF-IDF,market,KOSPI,21,0.3319388670697086
TF-IDF,market,KOSPI,252,0.3478031858284816
TF-IDF,market,KOSDAQ,1,0.2921632587854216
TF-IDF,market,KOSDAQ,5,0.3377134016129863
TF-IDF,market,KOSDAQ,21,0.2887925538696927
TF-IDF,market,KOSDAQ,252,0.3650227767874827
TF-IDF,macro,KOSPI,1,0.3548068660428211
TF-IDF,macro,KOSPI,5,0.3241519954078337
TF-IDF,macro,KOSPI,21,0.3759318172891874
TF-IDF,macro,KOSPI,252,0.2793111201043212
TF-IDF,macro,KOSDAQ,1,0.3106117268420933
TF-IDF,macro,KOSDAQ,5,0.3273028795416855
TF-IDF,macro,KOSDAQ,21,0.2945975107899227
TF-IDF,macro,KOSDAQ,252,0.3266976332669764
TF-IDF,it,KOSPI,1,0.3216297542285768
TF-IDF,it,KOSPI,5,0.3219266557197591
TF-IDF,it,KOSPI,21,0.380579619418639
TF-IDF,it,KOSPI,252,0.3031280386759248
TF-IDF,it,KOSDAQ,1,0.2754442906464289
TF-IDF,it,KOSDAQ,5,0.3061669324827219
TF-IDF,it,KOSDAQ,21,0.2967524174420726
TF-IDF,it,KOSDAQ,252,0.2826553563395668
TF-IDF,market_it,KOSPI,1,0.3689438766361843
TF-IDF,market_it,KOSPI,5,0.3356087482720004
TF-IDF,market_it,KOSPI,21,0.3567872552273481
TF-IDF,market_it,KOSPI,252,0.2970205435203928
TF-IDF,market_it,KOSDAQ,1,0.281568282408148
TF-IDF,market_it,KOSDAQ,5,0.2880788177339901
TF-IDF,market_it,KOSDAQ,21,0.2675510463826615
TF-IDF,market_it,KOSDAQ,252,0.3322734638461875
RoBERTa,all,KOSPI,1,0.31771246804761
RoBERTa,all,KOSPI,5,0.2977888565757282
RoBERTa,all,KOSPI,21,0.3253738272270518
RoBERTa,all,KOSPI,252,0.2774951693678772
RoBERTa,all,KOSDAQ,1,0.2931455761316872
RoBERTa,all,KOSDAQ,5,0.2752439639793314
RoBERTa,all,KOSDAQ,21,0.3172706756936148
RoBERTa,all,KOSDAQ,252,0.2882352941176471
RoBERTa,market,KOSPI,1,0.2257899597598786
RoBERTa,market,KOSPI,5,0.2971440169289855
RoBERTa,market,KOSPI,21,0.255040755040755
RoBERTa,market,KOSPI,252,0.2689790781815321
RoBERTa,market,KOSDAQ,1,0.2327584826503979
RoBERTa,market,KOSDAQ,5,0.2771696017769316
RoBERTa,market,KOSDAQ,21,0.2903488395179383
RoBERTa,market,KOSDAQ,252,0.35829559967491
RoBERTa,macro,KOSPI,1,0.2912472437925414
RoBERTa,macro,KOSPI,5,0.3237311385459533
RoBERTa,macro,KOSPI,21,0.3021946564885496
RoBERTa,macro,KOSPI,252,0.2494824016563147
RoBERTa,macro,KOSDAQ,1,0.3272741288930003
RoBERTa,macro,KOSDAQ,5,0.2915702058067668
RoBERTa,macro,KOSDAQ,21,0.3248508482485084
RoBERTa,macro,KOSDAQ,252,0.3092885752431814
RoBERTa,it,KOSPI,1,0.2817519417087036
RoBERTa,it,KOSPI,5,0.3046113306982872
RoBERTa,it,KOSPI,21,0.2709987857396052
RoBERTa,it,KOSPI,252,0.2292372881355932
RoBERTa,it,KOSDAQ,1,0.2839609483960948
RoBERTa,it,KOSDAQ,5,0.2956361224077759
RoBERTa,it,KOSDAQ,21,0.2824096245664446
RoBERTa,it,KOSDAQ,252,0.2933267499715143
RoBERTa,market_it,KOSPI,1,0.175226586102719
RoBERTa,market_it,KOSPI,5,0.1767068273092369
RoBERTa,market_it,KOSPI,21,0.1767068273092369
RoBERTa,market_it,KOSPI,252,0.0641975308641975
RoBERTa,market_it,KOSDAQ,1,0.1825396825396825
RoBERTa,market_it,KOSDAQ,5,0.2085532240823506
RoBERTa,market_it,KOSDAQ,21,0.2173112338858195
RoBERTa,market_it,KOSDAQ,252,0.2246376811594203
