seed,index,horizon,bin_acc,IC,IC_p
42,KOSDAQ,1,0.537,0.063,0.331
42,KOSDAQ,5,0.474,0.112,0.08
42,KOSPI,1,0.575,0.12,0.062
42,KOSPI,5,0.542,0.182,0.004
0,KOSDAQ,1,0.514,0.026,0.688
0,KOSDAQ,5,0.464,0.083,0.194
0,KOSPI,1,0.521,0.013,0.842
0,KOSPI,5,0.531,0.152,0.018
1,KOSDAQ,1,0.531,0.081,0.205
1,KOSDAQ,5,0.448,0.012,0.853
1,KOSPI,1,0.587,0.101,0.115
1,KOSPI,5,0.531,0.158,0.013
2,KOSDAQ,1,0.537,0.043,0.5
2,KOSDAQ,5,0.458,0.075,0.246
2,KOSPI,1,0.563,0.088,0.171
2,KOSPI,5,0.52,0.155,0.015
3,KOSDAQ,1,0.451,0.084,0.191
3,KOSDAQ,5,0.417,0.065,0.311
3,KOSPI,1,0.509,0.086,0.18
3,KOSPI,5,0.475,0.117,0.067
4,KOSDAQ,1,0.486,0.067,0.295
4,KOSDAQ,5,0.448,0.062,0.338
4,KOSPI,1,0.527,0.109,0.09
4,KOSPI,5,0.525,0.115,0.072
