date,index,attention,headline,score_h5,ret_h5
2024-01-02,KOSDAQ,0.4082,올 수출 ‘나홀로 강세’ 예상 내수 부진탓 경기회복은 난망,0.057,0.0065
2024-01-02,KOSDAQ,0.0901,이민이 저출산 해결책? 노동시장 충격도 고려해야,0.057,0.0065
2024-01-02,KOSDAQ,0.0644,홍해 진입한 이란 구축함 美와 긴장 고조,0.057,0.0065
2024-01-02,KOSPI,0.4082,올 수출 ‘나홀로 강세’ 예상 내수 부진탓 경기회복은 난망,0.051,-0.0407
2024-01-02,KOSPI,0.0901,이민이 저출산 해결책? 노동시장 충격도 고려해야,0.051,-0.0407
2024-01-02,KOSPI,0.0644,홍해 진입한 이란 구축함 美와 긴장 고조,0.051,-0.0407
2024-01-03,KOSDAQ,0.3049,"리비안, 4분기 월가 예상과 동일한 1만4000대 납품",0.049,0.0045
2024-01-03,KOSDAQ,0.1555,"ASML, 반도체 노광장비 대중 수출 허가 취소",0.049,0.0045
2024-01-03,KOSDAQ,0.1138,불확실성 커진 경제 환경 재계 “체질 개선 도전 혁신” 다짐,0.049,0.0045
2024-01-03,KOSPI,0.3049,"리비안, 4분기 월가 예상과 동일한 1만4000대 납품",0.043,-0.0251
2024-01-03,KOSPI,0.1555,"ASML, 반도체 노광장비 대중 수출 허가 취소",0.043,-0.0251
2024-01-03,KOSPI,0.1138,불확실성 커진 경제 환경 재계 “체질 개선 도전 혁신” 다짐,0.043,-0.0251
2024-01-04,KOSDAQ,0.3344,"미즈호 ""유가 상승 난망 엑슨모빌 옥시덴탈 중립"" 강등",0.098,0.0188
2024-01-04,KOSDAQ,0.2253,태영 이은 도미노 건설사 부실 우려 시장선 동부 신세계건설 지목,0.098,0.0188
2024-01-04,KOSDAQ,0.1844,"민준선 삼일PwC 부대표 ""올해 M&A 시장 키워드는 구조조정 PEF 크로스보더""[자본시장을 움직이는 사람들]",0.098,0.0188
2024-01-04,KOSPI,0.3344,"미즈호 ""유가 상승 난망 엑슨모빌 옥시덴탈 중립"" 강등",0.092,-0.0181
2024-01-04,KOSPI,0.2253,태영 이은 도미노 건설사 부실 우려 시장선 동부 신세계건설 지목,0.092,-0.0181
2024-01-04,KOSPI,0.1844,"민준선 삼일PwC 부대표 ""올해 M&A 시장 키워드는 구조조정 PEF 크로스보더""[자본시장을 움직이는 사람들]",0.092,-0.0181
2024-01-05,KOSDAQ,0.3453,여전히 견조한 美 고용시장 실업수당 청구도 줄어,0.083,-0.0117
2024-01-05,KOSDAQ,0.1235,"‘솔라허브’ 한화솔루션, 투자실탄 확보 박차 IRA 호재로 투심 청신호",0.083,-0.0117
2024-01-05,KOSDAQ,0.0958,독일 12월 인플레 3.8%..ECB 조기 금리인하 청신호,0.083,-0.0117
2024-01-05,KOSPI,0.3453,여전히 견조한 美 고용시장 실업수당 청구도 줄어,0.077,-0.0206
2024-01-05,KOSPI,0.1235,"‘솔라허브’ 한화솔루션, 투자실탄 확보 박차 IRA 호재로 투심 청신호",0.077,-0.0206
2024-01-05,KOSPI,0.0958,독일 12월 인플레 3.8%..ECB 조기 금리인하 청신호,0.077,-0.0206
2024-01-08,KOSDAQ,0.1737,"[헬로, 블록체인] 이더리움을 향한 기대와 도전",-0.056,-0.0223
2024-01-08,KOSDAQ,0.1634,"중국, EU산 브랜디 반덤핑 조사 전기차 ‘맞대응’",-0.056,-0.0223
2024-01-08,KOSDAQ,0.0783,"심스 프린스턴대 교수 ""재정적자로 이자비용 급증 현 상황 1970년대와 비슷""",-0.056,-0.0223
2024-01-08,KOSPI,0.1737,"[헬로, 블록체인] 이더리움을 향한 기대와 도전",-0.061,-0.0163
2024-01-08,KOSPI,0.1634,"중국, EU산 브랜디 반덤핑 조사 전기차 ‘맞대응’",-0.061,-0.0163
2024-01-08,KOSPI,0.0783,"심스 프린스턴대 교수 ""재정적자로 이자비용 급증 현 상황 1970년대와 비슷""",-0.061,-0.0163
2024-01-09,KOSDAQ,0.1742,"월가 전문가들 ""아마존, 올해 사상최고가 복귀 가능성""",0.046,-0.0337
2024-01-09,KOSDAQ,0.1592,KCC 등 연초 회사채 시장은 ‘일단 흥행’ 금리는 아쉬움 남겨,0.046,-0.0337
2024-01-09,KOSDAQ,0.1502,"제프리스 ""아이폰, 올해 중국내 첫 주 판매 30% 감소""",0.046,-0.0337
2024-01-09,KOSPI,0.1742,"월가 전문가들 ""아마존, 올해 사상최고가 복귀 가능성""",0.04,-0.0249
2024-01-09,KOSPI,0.1592,KCC 등 연초 회사채 시장은 ‘일단 흥행’ 금리는 아쉬움 남겨,0.04,-0.0249
2024-01-09,KOSPI,0.1502,"제프리스 ""아이폰, 올해 중국내 첫 주 판매 30% 감소""",0.04,-0.0249
2024-01-10,KOSDAQ,0.429,"씨티 ""넷플릭스, 기대 높아져 위험 중립 하향""",0.028,-0.0484
2024-01-10,KOSDAQ,0.0928,"매치그룹, 엘리엇의 지분 확보 소식에 주가 급등",0.028,-0.0484
2024-01-10,KOSDAQ,0.0827,미래에셋증권 회사채 '완판' 태영건설 사태로 '오버 금리'는 불가피,0.028,-0.0484
2024-01-10,KOSPI,0.429,"씨티 ""넷플릭스, 기대 높아져 위험 중립 하향""",0.023,-0.0417
2024-01-10,KOSPI,0.0928,"매치그룹, 엘리엇의 지분 확보 소식에 주가 급등",0.023,-0.0417
2024-01-10,KOSPI,0.0827,미래에셋증권 회사채 '완판' 태영건설 사태로 '오버 금리'는 불가피,0.023,-0.0417
2024-01-11,KOSDAQ,0.2181,"엔비디아,아마존 美증시 시가총액 순위 뒤집힐까?",-0.045,-0.0478
2024-01-11,KOSDAQ,0.1914,"美 SEC, 비트코인 ETF 승인 여부 결정 임박",-0.045,-0.0478
2024-01-11,KOSDAQ,0.1787,"X에 뜬 美 비트코인 가짜뉴스, 코인 시장 난리났다",-0.045,-0.0478
2024-01-11,KOSPI,0.2181,"엔비디아,아마존 美증시 시가총액 순위 뒤집힐까?",-0.05,-0.0395
2024-01-11,KOSPI,0.1914,"美 SEC, 비트코인 ETF 승인 여부 결정 임박",-0.05,-0.0395
2024-01-11,KOSPI,0.1787,"X에 뜬 美 비트코인 가짜뉴스, 코인 시장 난리났다",-0.05,-0.0395
2024-01-12,KOSDAQ,0.2219,미국서 비트코인 ‘현물 ETF’ 승인 한국은 아직 멀었다,-0.082,-0.0293
2024-01-12,KOSDAQ,0.2198,[사설] 美 자산시장 입성한 비트코인 우리도 제도권 포용 속도 내야,-0.082,-0.0293
2024-01-12,KOSDAQ,0.0732,"후티 반군 홍해 도발 이어 “이란, 걸프 해역서 美유조선 나포”",-0.082,-0.0293
2024-01-12,KOSPI,0.2219,미국서 비트코인 ‘현물 ETF’ 승인 한국은 아직 멀었다,-0.085,-0.0207
2024-01-12,KOSPI,0.2198,[사설] 美 자산시장 입성한 비트코인 우리도 제도권 포용 속도 내야,-0.085,-0.0207
2024-01-12,KOSPI,0.0732,"후티 반군 홍해 도발 이어 “이란, 걸프 해역서 美유조선 나포”",-0.085,-0.0207
2024-01-15,KOSDAQ,0.1754,"[사설] 비트코인 ETF 거래, 무조건 안 된다고만 할 상황 아니다",-0.061,-0.0233
2024-01-15,KOSDAQ,0.1064,[월요전망대] 홍해 물류난에 운임 폭등 수출입 물가에 영향 미쳤나,-0.061,-0.0233
2024-01-15,KOSDAQ,0.0894,대만은 이번에도 ‘반중국’ 선택했다 미-중 관계 긴장 계속될 듯,-0.061,-0.0233
2024-01-15,KOSPI,0.1754,"[사설] 비트코인 ETF 거래, 무조건 안 된다고만 할 상황 아니다",-0.066,-0.0244
2024-01-15,KOSPI,0.1064,[월요전망대] 홍해 물류난에 운임 폭등 수출입 물가에 영향 미쳤나,-0.066,-0.0244
2024-01-15,KOSPI,0.0894,대만은 이번에도 ‘반중국’ 선택했다 미-중 관계 긴장 계속될 듯,-0.066,-0.0244
2024-01-16,KOSDAQ,0.2636,"한경 블루밍비트, 美비트코인 현물 ETF 승인 국내보도 가장 빨랐다 美보다 41분 앞서",-0.067,-0.0172
2024-01-16,KOSDAQ,0.1906,[취재수첩] 대마초는 되고 비트코인 ETF는 안 된다?,-0.067,-0.0172
2024-01-16,KOSDAQ,0.0573,"“신용사면 250만명, 신용점수 평균 39점 오를 듯”",-0.067,-0.0172
2024-01-16,KOSPI,0.2636,"한경 블루밍비트, 美비트코인 현물 ETF 승인 국내보도 가장 빨랐다 美보다 41분 앞서",-0.071,-0.0076
2024-01-16,KOSPI,0.1906,[취재수첩] 대마초는 되고 비트코인 ETF는 안 된다?,-0.071,-0.0076
2024-01-16,KOSPI,0.0573,"“신용사면 250만명, 신용점수 평균 39점 오를 듯”",-0.071,-0.0076
2024-01-17,KOSDAQ,0.282,"골드만삭스, 4분기에 시장 예상 웃도는 호실적",0.033,0.0038
2024-01-17,KOSDAQ,0.1343,"시진핑 ""금융 강국 되려면 위안화 강해져야""",0.033,0.0038
2024-01-17,KOSDAQ,0.1165,[취재수첩] 가계 빚 숨통 트여줄 '비대면 갈아타기',0.033,0.0038
2024-01-17,KOSPI,0.282,"골드만삭스, 4분기에 시장 예상 웃도는 호실적",0.027,0.0139
2024-01-17,KOSPI,0.1343,"시진핑 ""금융 강국 되려면 위안화 강해져야""",0.027,0.0139
2024-01-17,KOSPI,0.1165,[취재수첩] 가계 빚 숨통 트여줄 '비대면 갈아타기',0.027,0.0139
2024-01-18,KOSDAQ,0.38,어닝쇼크+북 리스크 윤 대통령 거래소 갔지만 증시는 급락,0.134,-0.0197
2024-01-18,KOSDAQ,0.2195,"[사설] 자본시장 감세도 좋지만, 증시 발전엔 기업 활력이 우선",0.134,-0.0197
2024-01-18,KOSDAQ,0.0522,"서민 절세 상품 ‘ISA’, 부자에 개방",0.134,-0.0197
2024-01-18,KOSPI,0.38,어닝쇼크+북 리스크 윤 대통령 거래소 갔지만 증시는 급락,0.128,0.0124
2024-01-18,KOSPI,0.2195,"[사설] 자본시장 감세도 좋지만, 증시 발전엔 기업 활력이 우선",0.128,0.0124
2024-01-18,KOSPI,0.0522,"서민 절세 상품 ‘ISA’, 부자에 개방",0.128,0.0124
2024-01-19,KOSDAQ,0.4993,"BofA, 최근 부진한 애플 '매수'로 상향",0.068,-0.0064
2024-01-19,KOSDAQ,0.0727,최대 EV시장 중국 과포화 EV 가격 전쟁 아마겟돈,0.068,-0.0064
2024-01-19,KOSDAQ,0.0566,성주완 미래에셋 본부장 “하이테크 IPO로 자금 몰린다”[자본시장을 움직이는 사람들],0.068,-0.0064
2024-01-19,KOSPI,0.4993,"BofA, 최근 부진한 애플 '매수'로 상향",0.062,0.0024
