model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.42857142857142855,0.06933702412999178,0.4495809324253536,-0.07965420533726544,0.21504192824373908,-0.0017127736574909195,0.07938412317536493,0.4672131147540984
TF-IDF,KOSDAQ,5,244,0.5,1.0,0.45121951219512196,-0.05529245092086622,0.3898339072668242,-0.0003081238987398338,0.8804239152169566,0.5
TF-IDF,KOSDAQ,21,244,0.5081081081081081,0.8831496927414335,0.44940551479888685,-0.07501414652078195,0.24305416376800665,0.0014680067308525141,0.6658668266346731,0.47540983606557374
TF-IDF,KOSDAQ,252,244,0.5069767441860465,0.8915472602462476,0.6034207727756116,0.1263645713294425,0.04864931993211926,0.028530126839488083,0.014397120575884824,0.5081967213114754
TF-IDF,KOSPI,1,244,0.5149700598802395,0.7570261671839605,0.49410919540229886,-0.009785675047189489,0.8791271194520633,-3.2165882170518995e-05,0.9630073985202959,0.5245901639344263
TF-IDF,KOSPI,5,244,0.46368715083798884,0.36980577503694073,0.4524225774225774,-0.01830993478144142,0.7759770451091802,-0.0010286544334962998,0.5268946210757849,0.5122950819672131
TF-IDF,KOSPI,21,244,0.5674157303370787,0.08443396247897403,0.5909090909090909,0.16119020771635914,0.011687164935907164,0.006049970302057092,0.01759648070385923,0.5450819672131147
TF-IDF,KOSPI,252,244,0.8547486033519553,4.323794758081699e-23,0.18577174459527399,-0.4965697268585636,1.3480766622369163e-16,0.22095636708911082,0.0001999600079984003,0.7090163934426229
wordcount,KOSDAQ,1,244,0.45714285714285713,0.28989252377520647,0.4555395495023572,-0.09992255227831656,0.11953611429880619,-0.00178823424792868,0.06418716256748651,0.44672131147540983
wordcount,KOSDAQ,5,244,0.3854166666666667,0.0018388607962488929,0.4008314855875832,-0.1355943966231694,0.03426303600925672,-0.007429925398986439,0.0005998800239952009,0.4139344262295082
wordcount,KOSDAQ,21,244,0.32972972972972975,4.210926882969812e-06,0.372818112825702,-0.1499749070487788,0.01908199005186551,-0.016877413602222217,0.0001999600079984003,0.3729508196721312
wordcount,KOSDAQ,252,244,0.386046511627907,0.0010157542429199964,0.27410492733073377,-0.36235168777380383,5.529732408309398e-09,-0.0008213717871384243,0.9514097180563887,0.38934426229508196
wordcount,KOSPI,1,244,0.47305389221556887,0.5360050623796352,0.4459770114942529,-0.11396559675483153,0.07559266168248964,-0.0008983547077794717,0.25574885022995403,0.4959016393442623
wordcount,KOSPI,5,244,0.46368715083798884,0.36980577503694073,0.4725274725274725,-0.07846310496705175,0.22200167320084419,-0.0031299239578380343,0.051789642071585686,0.4713114754098361
wordcount,KOSPI,21,244,0.4606741573033708,0.3298754764930282,0.45101010101010097,-0.08693321115081008,0.17588609298282368,-0.0020072554939643285,0.41731653669266144,0.47950819672131145
wordcount,KOSPI,252,244,0.8044692737430168,6.672513536972345e-17,0.3559577677224736,-0.35422152586924344,1.2683671891052274e-08,0.18407352418137435,0.0001999600079984003,0.6721311475409836
RoBERTa,KOSDAQ,1,244,0.5257142857142857,0.5454726578478978,0.5367993713986381,0.04937610745573274,0.44261353820440774,6.6593030785539e-05,0.9448110377924415,0.5122950819672131
RoBERTa,KOSDAQ,5,244,0.5052083333333334,0.9424925696532246,0.5194013303769401,0.09067403524858637,0.15794677264480284,0.0012255895085823644,0.5532893421315737,0.5327868852459017
RoBERTa,KOSDAQ,21,244,0.3675675675675676,0.00038861943406843364,0.3552997723248166,-0.1495301702951976,0.01944462742703646,-0.011620317264764613,0.0005998800239952009,0.38524590163934425
RoBERTa,KOSDAQ,252,244,0.37209302325581395,0.00021464778366412355,0.3769939737681673,-0.2594715603302645,4.0827041909813816e-05,-0.050022487018073596,0.0001999600079984003,0.3729508196721312
RoBERTa,KOSPI,1,244,0.5688622754491018,0.08837580839996556,0.5593390804597702,0.08226955627424011,0.20031152500566404,0.0006338633295823873,0.42091581683663265,0.5614754098360656
RoBERTa,KOSPI,5,244,0.5642458100558659,0.09983295689826419,0.5403346653346653,0.09181071335638079,0.1527783616576361,0.003149691802750534,0.05078984203159368,0.5491803278688525
RoBERTa,KOSPI,21,244,0.5168539325842697,0.7079478517624375,0.5327020202020202,0.04101706256273001,0.5236785202951642,0.0012730636651222605,0.6070785842831433,0.5122950819672131
RoBERTa,KOSPI,252,244,0.5307262569832403,0.4548953397912325,0.397938662644545,-0.24256264740261615,0.0001298201768232016,-0.011378466905411657,0.6132773445310937,0.5
