model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.4742857142857143,0.5454726578478978,0.5147983237297014,0.03944999979348145,0.539675925553063,-6.642833932631566e-05,0.9452109578084383,0.5040983606557377
TF-IDF,KOSDAQ,5,244,0.4010416666666667,0.007418656126766907,0.39667405764966746,-0.15620650203007735,0.014585684970092926,-0.00556858492042792,0.006998600279944011,0.4098360655737705
TF-IDF,KOSDAQ,21,244,0.42702702702702705,0.055638679233657576,0.4548444219580066,-0.024918528431408994,0.6985332112359826,-0.004859994716495749,0.15996800639872025,0.4385245901639344
TF-IDF,KOSDAQ,252,244,0.5255813953488372,0.49533307173699387,0.5135590216235377,0.027744528290976376,0.6662931703129564,0.009711896166160828,0.41991601679664065,0.5327868852459017
TF-IDF,KOSPI,1,244,0.5149700598802395,0.7570261671839605,0.49741379310344835,0.0036999863697755966,0.9541476655181846,0.0005611618567808734,0.47650469906018794,0.4672131147540984
TF-IDF,KOSPI,5,244,0.441340782122905,0.13472434931665664,0.4095904095904096,-0.14663973664754304,0.02195050940168567,-0.003669309803918824,0.023395320935812838,0.4426229508196721
TF-IDF,KOSPI,21,244,0.5449438202247191,0.26082933526084445,0.5157828282828283,0.034747985411529514,0.5890888839205306,0.0035834808180900454,0.15436912617476506,0.5532786885245902
TF-IDF,KOSPI,252,244,0.8491620111731844,2.4725334908821853e-22,0.3682755153343389,-0.11960480609973194,0.062126110007985846,0.21715182909015915,0.0001999600079984003,0.7090163934426229
wordcount,KOSDAQ,1,244,0.44,0.13033475483295076,0.40309062336301726,-0.11807373388104146,0.0655708772420183,-0.001530261573694022,0.13697260547890422,0.42410714285714285
wordcount,KOSDAQ,5,244,0.4166666666666667,0.025016096927259472,0.42422394678492237,-0.13535318104406935,0.03458695674410037,-0.006036066815277989,0.002999400119976005,0.41964285714285715
wordcount,KOSDAQ,21,244,0.43783783783783786,0.10552229968115737,0.4812800404755882,-0.03344118815035588,0.6031813080650497,-0.008630680891944922,0.013397320535892822,0.4375
wordcount,KOSDAQ,252,244,0.3581395348837209,3.827259175582944e-05,0.3387096774193548,-0.23362340105139295,0.00023172731712883132,-0.009421270285952148,0.46930613877224553,0.36160714285714285
wordcount,KOSPI,1,244,0.5149700598802395,0.7570261671839605,0.4344109195402299,-0.08139140518779336,0.20517358774703964,-0.0001887587516382072,0.8198360327934413,0.5267857142857143
wordcount,KOSPI,5,244,0.5139664804469274,0.7650574199487117,0.4737137862137862,-0.10745987991127838,0.09397142853616158,-0.0023405836627124693,0.16496700659868027,0.48214285714285715
wordcount,KOSPI,21,244,0.5168539325842697,0.7079478517624375,0.5055555555555555,0.01806453725230428,0.7789013840512292,0.001336815291615037,0.6194761047790442,0.5133928571428571
wordcount,KOSPI,252,244,0.6703910614525139,6.0044948040401604e-06,0.3139768728004022,-0.2306460308713004,0.00027969292220258985,0.1319668740501013,0.0001999600079984003,0.625
RoBERTa,KOSDAQ,1,244,0.52,0.6502722402634351,0.4917496071241487,-0.010883527667290354,0.865687975305042,0.0005174820769244139,0.6022795440911818,0.5040983606557377
RoBERTa,KOSDAQ,5,244,0.4166666666666667,0.025016096927259472,0.4419068736141907,-0.08819911692667351,0.16965370195737656,-0.005613103758602997,0.00599880023995201,0.4426229508196721
RoBERTa,KOSDAQ,21,244,0.5405405405405406,0.30332705263989146,0.5508474576271186,0.02512835127979546,0.6961199280049786,0.000534543421478863,0.8780243951209759,0.5245901639344263
RoBERTa,KOSDAQ,252,244,0.4558139534883721,0.2195112078418338,0.4125310173697271,-0.15321859162608578,0.01661036144552504,0.0011217303480472024,0.9312137572485503,0.45491803278688525
RoBERTa,KOSPI,1,244,0.5149700598802395,0.7570261671839605,0.5341954022988505,0.07557422483261671,0.2395437796297184,0.0006119925999761227,0.4367126574685063,0.5245901639344263
RoBERTa,KOSPI,5,244,0.4245810055865922,0.05167186194684383,0.40197302697302695,-0.13549434345687275,0.034397080184137355,-0.0029340177374001467,0.06818636272745451,0.4385245901639344
RoBERTa,KOSPI,21,244,0.5280898876404494,0.500054606001611,0.5406565656565656,0.02232878579482795,0.7285620081196391,-0.0014139590248249082,0.5692861427714457,0.5122950819672131
RoBERTa,KOSPI,252,244,0.48044692737430167,0.6539420644558549,0.32202111613876316,-0.183740381398461,0.003977539713474244,0.029058029368096178,0.1943611277744451,0.4672131147540984
