model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.46285714285714286,0.36438838640898524,0.464117338920901,-0.022821126021750533,0.7228195577289058,4.4061323330954516e-05,0.9624075184963007,0.48770491803278687
TF-IDF,KOSDAQ,5,244,0.484375,0.7183188542176949,0.4543237250554324,-0.06485095556133806,0.3130394502292895,-0.0015662035091894193,0.4461107778444311,0.4918032786885246
TF-IDF,KOSDAQ,21,244,0.5081081081081081,0.8831496927414335,0.4521882114849481,-0.08222081789607161,0.2005791645207851,0.0007982764126438119,0.8184363127374525,0.47540983606557374
TF-IDF,KOSDAQ,252,244,0.6139534883720931,0.0010157542429199964,0.6624423963133641,0.25732376739402496,4.750147861097196e-05,0.05237359573777634,0.0001999600079984003,0.5942622950819673
TF-IDF,KOSPI,1,244,0.49700598802395207,1.0,0.5038793103448277,-0.0009549417824203148,0.9881597697232545,0.0002336595399682467,0.7664467106578684,0.5040983606557377
TF-IDF,KOSPI,5,244,0.4301675977653631,0.07254166975912647,0.4343156843156843,-0.05923612918148437,0.35686470128467174,-0.002916072459937953,0.06898620275944811,0.4672131147540984
TF-IDF,KOSPI,21,244,0.5,1.0,0.5952020202020203,0.1431470949035352,0.025346856998043135,0.0006932985785678182,0.7744451109778044,0.5122950819672131
TF-IDF,KOSPI,252,244,0.8435754189944135,1.354765528699827e-21,0.3217697335344394,-0.36994576822835995,2.4928731501385665e-09,0.2117450154447733,0.0001999600079984003,0.7008196721311475
wordcount,KOSDAQ,1,244,0.45714285714285713,0.28989252377520647,0.464510214772132,-0.07462147292146025,0.24553664057044003,-0.0016989344344444026,0.08738252349530094,0.4403292181069959
wordcount,KOSDAQ,5,244,0.390625,0.0029872785599105414,0.41746119733924614,-0.0946349755086676,0.1404911225903033,-0.006261739619737638,0.0015996800639872025,0.4156378600823045
wordcount,KOSDAQ,21,244,0.34594594594594597,3.3566831464275126e-05,0.45699468757905387,-0.054440643719446874,0.39718950748114135,-0.01626111114304565,0.0001999600079984003,0.3786008230452675
wordcount,KOSDAQ,252,244,0.3674418604651163,0.00012314013787343315,0.27344026940801136,-0.33130587101167197,1.1643891227627118e-07,-0.009055525105843617,0.4595080983803239,0.3662551440329218
wordcount,KOSPI,1,244,0.4550898203592814,0.27861206921356013,0.4545977011494253,-0.0825465571812363,0.19879533565698376,-0.0009954966407316405,0.21215756848630274,0.4897119341563786
wordcount,KOSPI,5,244,0.45251396648044695,0.23164488381218906,0.4795829170829171,-0.06451370593076997,0.3155678912496633,-0.0031385342663563837,0.057388522295540895,0.46502057613168724
wordcount,KOSPI,21,244,0.4606741573033708,0.3298754764930282,0.5125,0.016273236306123394,0.8003396843835116,-0.0026299130961789222,0.3101379724055189,0.49794238683127573
wordcount,KOSPI,252,244,0.7430167597765364,5.37975614338675e-11,0.345148315736551,-0.32017472618178533,3.2083267309635074e-07,0.1500906944608699,0.0001999600079984003,0.6337448559670782
RoBERTa,KOSDAQ,1,244,0.5371428571428571,0.36438838640898524,0.5446568884232583,0.062523078448137,0.33076284356943897,0.0015607994571113476,0.11157768446310738,0.5204918032786885
RoBERTa,KOSDAQ,5,244,0.4739583333333333,0.5161096341329208,0.5594235033259424,0.1122543978125555,0.08011817220918925,7.46881468220494e-05,0.9708058388322336,0.48770491803278687
RoBERTa,KOSDAQ,21,244,0.5621621621621622,0.10552229968115737,0.5661522894004554,0.10469747097381757,0.10278155949462082,0.006240102013250187,0.07258548290341932,0.5286885245901639
RoBERTa,KOSDAQ,252,244,0.46511627906976744,0.33970056753424255,0.4606522509748316,-0.010475447009404854,0.8706791208299517,0.0061320086985869405,0.6124775044991002,0.4426229508196721
RoBERTa,KOSPI,1,244,0.5748502994011976,0.06296242380456342,0.5895114942528735,0.11985262836160573,0.06158278193667785,0.000838552011942828,0.28494301139772044,0.5532786885245902
RoBERTa,KOSPI,5,244,0.5418994413407822,0.29535240587693534,0.6135114885114886,0.18226749108872448,0.004284003098699305,0.001742431121840565,0.27214557088582286,0.5491803278688525
RoBERTa,KOSPI,21,244,0.5786516853932584,0.04269434685440953,0.609469696969697,0.1620559334845049,0.011239097741153758,0.004380875464769348,0.08198360327934413,0.5532786885245902
RoBERTa,KOSPI,252,244,0.6256983240223464,0.000952894542130704,0.5354449472096531,-0.03509576265235905,0.5853640707442906,0.07042082305074641,0.0011997600479904018,0.5737704918032787
