model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.5542857142857143,0.17344372797398402,0.5330015715034049,0.06100888442808816,0.34263084522149645,0.0015692779794740557,0.11017796440711858,0.5655737704918032
TF-IDF,KOSDAQ,5,244,0.4791666666666667,0.61354723759346,0.43447893569844787,-0.06598845974333874,0.3046093335829148,6.3247735376748e-05,0.9748050389922016,0.5204918032786885
TF-IDF,KOSDAQ,21,244,0.44324324324324327,0.1412375590102102,0.43865418669365047,-0.054534114799532435,0.39637831799433254,-0.005431824505568645,0.11557688462307539,0.46311475409836067
TF-IDF,KOSDAQ,252,244,0.6744186046511628,3.4543299978384695e-07,0.727224388514711,0.3258334056148264,1.9262265478406778e-07,0.03042184760112042,0.008598280343931213,0.6680327868852459
TF-IDF,KOSPI,1,244,0.5209580838323353,0.6425688093388651,0.4902298850574713,-0.0015315415783799858,0.9810116538603857,0.00072574291671585,0.357128574285143,0.4713114754098361
TF-IDF,KOSPI,5,244,0.48044692737430167,0.6539420644558549,0.44755244755244755,-0.06965044669962703,0.2784958143770061,-0.0014690083023175542,0.3619276144771046,0.4918032786885246
TF-IDF,KOSPI,21,244,0.5730337078651685,0.06064937703927811,0.5545454545454546,0.07668364249160502,0.2326955677218772,0.0033683418348872847,0.1783643271345731,0.5573770491803278
TF-IDF,KOSPI,252,244,0.8491620111731844,2.4725334908821853e-22,0.4600301659125189,-0.03421764577111961,0.5947898300141112,0.21563281180074903,0.0001999600079984003,0.7049180327868853
wordcount,KOSDAQ,1,244,0.4114285714285714,0.023068184897690896,0.40734677841801986,-0.14565876905057157,0.022862201683294853,-0.002792351116806396,0.004799040191961607,0.3983050847457627
wordcount,KOSDAQ,5,244,0.3645833333333333,0.00021459976635164886,0.41258314855875833,-0.13095100558343187,0.040970795909722746,-0.007108386507418567,0.0009998000399920016,0.3940677966101695
wordcount,KOSDAQ,21,244,0.372972972972973,0.0006781790955458553,0.501770806982039,-0.011800597496593393,0.8544911916555022,-0.013241742735996173,0.0003999200159968006,0.4067796610169492
wordcount,KOSDAQ,252,244,0.3813953488372093,0.0006163886676232659,0.2875753278979086,-0.3083319397942736,9.026273799767435e-07,-0.0066311155942913825,0.5844831033793242,0.3728813559322034
wordcount,KOSPI,1,244,0.4311377245508982,0.08837580839996556,0.41551724137931034,-0.15277293564866845,0.016932467047088826,-0.0018893866843354653,0.013797240551889621,0.4533898305084746
wordcount,KOSPI,5,244,0.4301675977653631,0.07254166975912647,0.43562687312687315,-0.12790744996684061,0.04594218645888294,-0.00330345977434752,0.044191161767646474,0.4449152542372881
wordcount,KOSPI,21,244,0.47191011235955055,0.500054606001611,0.5301767676767678,0.04375379845122453,0.49633196305427796,-0.0023679844697016015,0.3669266146770646,0.4830508474576271
wordcount,KOSPI,252,244,0.7039106145251397,4.8683158390016636e-08,0.3345902463549522,-0.2870183711370228,5.199243975626528e-06,0.14197483850187262,0.0001999600079984003,0.6313559322033898
RoBERTa,KOSDAQ,1,244,0.5314285714285715,0.4497860825989254,0.5318229439497119,0.060273678384529274,0.3484896295618227,0.0016773840979039621,0.08378324335132974,0.5081967213114754
RoBERTa,KOSDAQ,5,244,0.5208333333333334,0.61354723759346,0.5972283813747228,0.13713823112730214,0.03225029529068224,0.0009835705230162434,0.6346730653869226,0.5081967213114754
RoBERTa,KOSDAQ,21,244,0.5945945945945946,0.012220636571466612,0.5569187958512521,0.05533292855697227,0.3894864324954581,0.008564127483180362,0.016196760647870425,0.5737704918032787
RoBERTa,KOSDAQ,252,244,0.5302325581395348,0.413193694518876,0.5103686635944701,0.008427609052121152,0.8957992063168851,-0.006301579518756665,0.6020795840831834,0.5409836065573771
RoBERTa,KOSPI,1,244,0.5089820359281437,0.877066810777598,0.5040229885057471,0.021540711002069314,0.7377852519263286,0.0008480932957658223,0.27834433113377327,0.5286885245901639
RoBERTa,KOSPI,5,244,0.5363128491620112,0.36980577503694073,0.5675574425574426,0.10842967423763676,0.09102518406761112,0.0015797883027911805,0.3281343731253749,0.5409836065573771
RoBERTa,KOSPI,21,244,0.5280898876404494,0.500054606001611,0.5675505050505051,0.10515015963884036,0.10129466359546761,0.001350959644003311,0.5846830633873226,0.5081967213114754
RoBERTa,KOSPI,252,244,0.4022346368715084,0.010839916955286607,0.4972347913524384,-0.006926632219372266,0.9142787720924159,-0.06310109690381654,0.004399120175964807,0.4344262295081967
