model,index,horizon,n,bin_acc,bin_p,auc,IC,IC_p,ls_ret,ls_p,hit
TF-IDF,KOSDAQ,1,244,0.45714285714285713,0.28989252377520647,0.4608433734939759,-0.011669124237430247,0.8560946560176331,-0.000392463352313817,0.6940611877624475,0.48770491803278687
TF-IDF,KOSDAQ,5,244,0.484375,0.7183188542176949,0.4643015521064301,-0.03598048812724847,0.5759377080126613,-0.0013232001363639226,0.5206958608278345,0.4918032786885246
TF-IDF,KOSDAQ,21,244,0.5135135135135135,0.7687855622330494,0.454591449532001,-0.0827800701337001,0.19752367219343087,0.0006766602221774169,0.8446310737852429,0.47950819672131145
TF-IDF,KOSDAQ,252,244,0.6093023255813953,0.0016433287183862946,0.6491492378589153,0.22969323734351055,0.0002968978953909635,0.04603686783809219,0.0001999600079984003,0.5983606557377049
TF-IDF,KOSPI,1,244,0.5209580838323353,0.6425688093388651,0.5112068965517241,0.011327129516044426,0.8602684166786715,0.0006843946230423361,0.3859228154369126,0.5204918032786885
TF-IDF,KOSPI,5,244,0.4748603351955307,0.5499954415754418,0.44942557442557446,-0.03486033150357896,0.5878844307577242,-0.0006149377935801377,0.7070585882823436,0.4959016393442623
TF-IDF,KOSPI,21,244,0.5112359550561798,0.8221669881349827,0.5907828282828282,0.12946730604810228,0.04333461156134235,0.0011527523889550213,0.6416716656668666,0.5204918032786885
TF-IDF,KOSPI,252,244,0.8379888268156425,7.121466877711995e-21,0.334841628959276,-0.398149593778009,1.0731426946249752e-10,0.20762647164562625,0.0001999600079984003,0.6967213114754098
wordcount,KOSDAQ,1,244,0.46285714285714286,0.36438838640898524,0.47249869041382925,-0.06197637495840079,0.33501696746667853,-0.0016268821044137453,0.09578084383123375,0.4426229508196721
wordcount,KOSDAQ,5,244,0.3802083333333333,0.0011089342515486916,0.41862527716186254,-0.08807564836161252,0.1702542290976327,-0.00680223306929612,0.0009998000399920016,0.4098360655737705
wordcount,KOSDAQ,21,244,0.33513513513513515,8.609403556021708e-06,0.45003794586390083,-0.06373478096764679,0.32145848202362814,-0.01710593999938803,0.0001999600079984003,0.36885245901639346
wordcount,KOSDAQ,252,244,0.3627906976744186,6.931211093773101e-05,0.2688319744771358,-0.34375515370977694,3.569814645568311e-08,-0.01310205482828406,0.2761447710457908,0.36065573770491804
wordcount,KOSPI,1,244,0.46107784431137727,0.35313775401242076,0.45969827586206896,-0.07729219045716697,0.22899830206820862,-0.0009281622361345437,0.23995200959808038,0.4918032786885246
wordcount,KOSPI,5,244,0.44692737430167595,0.17833858983964682,0.4796453546453546,-0.06340094824784633,0.32400478371822106,-0.0034279228300359696,0.03279344131173765,0.45901639344262296
wordcount,KOSPI,21,244,0.4550561797752809,0.26082933526084445,0.5047979797979798,0.0017860876827937992,0.9778564903985145,-0.0029280087491888904,0.2419516096780644,0.4918032786885246
wordcount,KOSPI,252,244,0.7374301675977654,1.5452638407214733e-10,0.33722976370035196,-0.33259902611070263,1.0323162184050719e-07,0.14321023182168055,0.0001999600079984003,0.6270491803278688
RoBERTa,KOSDAQ,1,244,0.5428571428571428,0.28989252377520647,0.5535620743844946,0.06763978208162438,0.2926402351963703,0.0014388893434882193,0.14617076584683064,0.5327868852459017
RoBERTa,KOSDAQ,5,244,0.4427083333333333,0.1294189315157585,0.508980044345898,0.04971892825132482,0.4394485809411144,-0.001284820575901107,0.5322935412917417,0.44672131147540983
RoBERTa,KOSDAQ,21,244,0.518918918918919,0.6592367635355446,0.4716670882873767,-0.05551218665972764,0.3879498676300046,0.0013244067507476827,0.6990601879624075,0.48770491803278687
RoBERTa,KOSDAQ,252,244,0.46511627906976744,0.33970056753424255,0.47633817795108113,0.006153426762326059,0.9238168817401059,-0.0014301758652606308,0.9088182363527294,0.47950819672131145
RoBERTa,KOSPI,1,244,0.6227544910179641,0.0018783308897799415,0.6475574712643678,0.1865159907314474,0.003453251453821609,0.0018877918668239043,0.01199760047990402,0.5860655737704918
RoBERTa,KOSPI,5,244,0.5810055865921788,0.03607016096096309,0.6016483516483516,0.19475277664192575,0.002244405701642441,0.003368194593402154,0.03559288142371526,0.5614754098360656
RoBERTa,KOSPI,21,244,0.5,1.0,0.5261363636363636,0.02722823191207266,0.6721398479355056,-0.0007070128001427549,0.7700459908018397,0.4959016393442623
RoBERTa,KOSPI,252,244,0.5418994413407822,0.29535240587693534,0.5226244343891402,-0.014198563456955337,0.8253564971564518,-0.0017588715592937367,0.9378124375124975,0.5327868852459017
